Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,EloHome,EloAway
G1,08/12/02,Giannina,Xanthi,1,1,D,1,0,H,2.3,3.25,2.55,2.3,2.9,2.5,2.5,3.1,2.5,,,,1.85,1.75,,,,,,,,1369.47,1526.22
G1,14/12/02,OFI,Egaleo,2,2,D,1,1,D,1.65,3.3,4.65,1.6,3.2,4.2,1.667,3.25,4.5,,,,1.8,1.8,,,,,,,,1470.7,1430.48
G1,15/12/02,Aris,PAOK,2,0,H,0,0,D,2.5,3.0,2.55,2.35,3.0,2.35,2.5,3.1,2.5,2.55,2.85,2.55,1.75,1.85,,,,,,,,1497.86,1643.52
G1,15/12/02,Ionikos,Proodeftiki,0,1,A,0,0,D,2.15,3.05,3.0,2.2,2.8,2.8,2.25,3.0,2.875,,,,1.95,1.65,,,,,,,,1424.31,1442.53
G1,15/12/02,Kalithea,Giannina,2,2,D,1,2,A,1.85,3.25,3.6,1.8,3.2,3.3,1.85,3.3,3.5,,,,1.95,1.65,,,,,,,,1408.22,1371.49
G1,15/12/02,Olympiakos,Panionios,3,0,H,2,0,H,1.17,5.5,12.0,1.2,4.7,9.0,1.167,5.5,12.0,,,,1.45,2.35,,,,,,,,1787.33,1485.13
G1,15/12/02,Panahaiki,Akratitos,2,0,H,0,0,D,2.35,3.0,2.72,2.35,3.0,2.35,,,,,,,1.9,1.7,,,,,,,,1321.31,1384.33
G1,15/12/02,Xanthi,Panathinaikos,0,0,D,0,0,D,3.35,3.15,1.95,3.0,3.1,1.9,3.6,3.25,1.85,3.4,3.05,1.95,1.8,1.8,,,,,,,,1524.2,1707.73
G1,16/12/02,Iraklis,AEK,0,2,A,0,1,A,2.6,3.0,2.45,2.35,3.0,2.35,2.625,3.1,2.375,2.65,2.9,2.4,1.8,1.8,,,,,,,,1534.75,1651.48
G1,21/12/02,Proodeftiki,Aris,3,1,H,0,0,D,2.45,3.0,2.65,2.45,2.8,2.45,2.5,3.0,2.5,,,,1.85,1.75,,,,,,,,1457.92,1511.99
G1,22/12/02,AEK,Ionikos,3,0,H,0,0,D,1.11,7.0,14.0,1.15,5.5,11.0,1.083,7.0,15.0,,,,1.5,2.25,,,,,,,,1663.38,1408.92
G1,22/12/02,Akratitos,Panionios,0,3,A,0,1,A,2.2,3.1,2.9,2.2,2.7,2.9,2.3,3.0,2.75,,,,1.95,1.65,,,,,,,,1373.16,1482.88
G1,22/12/02,Egaleo,Olympiakos,0,2,A,0,1,A,7.0,3.8,1.41,6.0,3.4,1.4,7.5,3.75,1.364,,,,1.75,1.85,,,,,,,,1435.27,1789.58
G1,22/12/02,Panathinaikos,Kalithea,1,0,H,0,0,D,1.11,7.0,14.0,1.15,5.5,11.0,1.1,6.5,13.0,,,,,,,,,,,,,1704.78,1403.54
G1,22/12/02,PAOK,Panahaiki,4,0,H,2,0,H,1.2,6.0,12.0,1.2,5.0,8.0,1.1,6.5,13.0,,,,1.5,2.25,,,,,,,,1629.39,1332.48
G1,22/12/02,Xanthi,Iraklis,1,0,H,0,0,D,2.15,3.1,3.0,2.2,2.7,2.9,2.1,3.0,3.1,2.0,3.0,3.3,2.05,1.6,,,,,,,,1527.15,1522.85
G1,22/12/02,Giannina,OFI,0,0,D,0,0,D,2.15,3.1,3.0,2.35,2.7,2.65,2.1,3.0,3.1,,,,1.9,1.7,,,,,,,,1376.17,1465.91
G1,04/01/03,Akratitos,Egaleo,0,1,A,0,1,A,2.35,3.0,2.76,2.3,2.9,2.5,2.3,3.1,2.7,,,,1.9,1.7,,,,,,,,1361.01,1430.57
G1,04/01/03,Panionios,PAOK,2,0,H,0,0,D,2.55,3.0,2.55,2.4,2.9,2.4,2.7,3.1,2.3,,,,1.8,1.8,,,,,,,,1495.03,1631.7
G1,05/01/03,Aris,AEK,1,1,D,1,1,D,2.65,3.0,2.4,2.6,3.0,2.2,2.75,3.1,2.3,,,,1.8,1.85,,,,,,,,1501.13,1666.26
G1,05/01/03,Iraklis,Ionikos,3,2,H,2,2,D,1.28,4.5,8.25,1.3,4.0,7.0,1.3,4.333,8.0,,,,1.7,1.9,,,,,,,,1513.99,1406.04
G1,05/01/03,Kalithea,Xanthi,0,1,A,0,0,D,2.45,3.0,2.6,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.95,1.65,,,,,,,,1401.28,1536.01
G1,05/01/03,OFI,Panathinaikos,0,2,A,0,2,A,4.0,3.25,1.75,3.5,3.0,1.8,4.0,3.25,1.75,,,,1.8,1.8,,,,,,,,1466.28,1707.04
G1,05/01/03,Olympiakos,Giannina,2,1,H,1,0,H,1.1,7.0,15.0,1.1,6.5,13.0,1.1,7.0,13.0,,,,1.45,2.35,,,,,,,,1794.28,1375.8
G1,05/01/03,Panahaiki,Proodeftiki,1,1,D,0,0,D,2.6,3.0,2.45,2.6,3.0,2.2,2.6,3.1,2.4,,,,1.95,1.65,,,,,,,,1330.17,1468.78
G1,11/01/03,Kalithea,Iraklis,1,0,H,0,0,D,2.7,3.0,2.45,2.45,2.8,2.45,2.6,3.0,2.5,,,,1.9,1.7,,,,,,,,1390.03,1519.79
G1,11/01/03,Giannina,Akratitos,1,0,H,1,0,H,1.58,3.4,5.3,1.65,3.0,4.2,1.667,3.3,4.5,,,,1.8,1.8,,,,,,,,1374.6,1347.42
G1,12/01/03,AEK,Panahaiki,6,0,H,1,0,H,1.1,7.5,14.0,1.1,6.0,14.0,1.083,7.0,17.0,,,,,,,,,,,,,1663.94,1331.55
G1,12/01/03,Ionikos,Aris,0,1,A,0,0,D,2.7,3.0,2.45,2.7,2.9,2.2,2.6,3.0,2.5,,,,1.9,1.7,,,,,,,,1400.24,1503.45
G1,12/01/03,Panathinaikos,Olympiakos,3,2,H,1,1,D,2.3,3.1,2.8,2.5,2.8,2.7,2.3,3.1,2.75,2.35,2.95,2.7,1.85,1.75,,,,,,,,1714.74,1795.48
G1,12/01/03,PAOK,Egaleo,4,0,H,0,0,D,1.35,4.0,8.0,1.4,3.2,6.5,1.333,4.0,8.0,,,,1.63,2.0,,,,,,,,1617.89,1444.16
G1,12/01/03,Proodeftiki,Panionios,0,1,A,0,0,D,2.2,3.1,3.0,2.2,2.9,2.7,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,,1467.4,1508.84
G1,12/01/03,Xanthi,OFI,1,4,A,1,1,D,1.6,3.3,5.4,1.6,2.9,4.8,1.6,3.3,5.0,1.75,3.2,4.0,1.8,1.8,,,,,,,,1547.26,1458.58
G1,18/01/03,Egaleo,Proodeftiki,1,0,H,0,0,D,2.1,3.1,3.0,2.1,2.7,3.1,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,,1439.87,1452.81
G1,18/01/03,PAOK,Giannina,1,0,H,1,0,H,1.2,5.0,9.75,1.2,4.5,10.0,1.2,5.0,10.0,,,,1.65,2.1,,,,,,,,1622.18,1382.72
G1,19/01/03,Akratitos,Panathinaikos,1,3,A,1,3,A,7.0,4.5,1.3,7.5,3.8,1.3,9.0,4.6,1.25,,,,1.7,1.9,,,,,,,,1339.3,1726.55
G1,19/01/03,Iraklis,Aris,4,0,H,3,0,H,2.25,3.0,2.8,2.3,2.9,2.5,2.25,3.0,2.875,2.3,2.9,2.8,1.85,1.75,,,,,,,,1506.22,1515.83
G1,19/01/03,OFI,Kalithea,2,1,H,1,0,H,1.7,3.15,4.35,1.65,2.9,4.4,1.7,3.25,4.333,,,,1.8,1.8,,,,,,,,1477.27,1403.6
G1,19/01/03,Olympiakos,Xanthi,1,1,D,0,0,D,1.3,4.5,7.0,1.25,4.0,9.0,1.182,5.5,10.0,1.3,4.5,7.0,1.6,2.05,,,,,,,,1783.67,1528.57
G1,19/01/03,Panahaiki,Ionikos,0,0,D,0,0,D,2.25,3.0,2.8,2.3,3.0,2.4,2.25,3.0,2.875,,,,1.85,1.75,,,,,,,,1329.63,1387.86
G1,19/01/03,Panionios,AEK,1,1,D,0,1,A,3.2,3.1,2.0,3.1,3.0,1.9,3.25,3.25,1.95,3.0,3.3,2.0,1.85,1.75,,,,,,,,1523.43,1665.86
G1,25/01/03,OFI,Iraklis,3,1,H,1,1,D,2.2,3.05,3.0,2.0,2.9,3.0,2.2,3.0,3.0,2.1,3.0,3.05,1.85,1.75,,,,,,,,1483.99,1515.54
G1,25/01/03,Xanthi,Akratitos,1,2,A,1,2,A,1.35,4.0,8.0,1.4,3.5,5.6,1.3,4.2,8.5,,,,1.7,1.9,,,,,,,,1538.2,1335.28
G1,26/01/03,AEK,Egaleo,3,2,H,2,2,D,1.15,6.0,13.0,1.25,4.0,9.0,1.14,6.0,12.0,,,,,,,,,,,,,1664.34,1449.3
G1,26/01/03,Aris,Panahaiki,1,1,D,1,0,H,1.12,6.5,14.0,1.2,4.7,9.0,1.11,6.5,15.0,,,,,,,,,,,,,1506.51,1328.13
G1,26/01/03,Ionikos,Panionios,1,2,A,1,2,A,2.5,3.1,2.55,2.6,2.8,2.3,2.5,3.1,2.5,,,,1.95,1.67,,,,,,,,1389.36,1524.95
G1,26/01/03,Kalithea,Olympiakos,1,4,A,0,1,A,8.0,4.0,1.35,5.6,3.5,1.4,8.0,4.0,1.33,,,,1.7,1.9,,,,,,,,1396.88,1774.04
G1,26/01/03,Panathinaikos,PAOK,1,0,H,0,0,D,1.55,3.5,5.4,1.55,3.2,4.6,1.6,3.4,5.0,1.6,3.2,5.0,1.75,1.85,,,,,,,,1730.57,1625.28
G1,26/01/03,Giannina,Proodeftiki,2,1,H,1,1,D,2.0,3.1,3.4,2.1,2.8,3.0,2.0,3.1,3.3,,,,1.95,1.67,,,,,,,,1379.62,1443.38
G1,01/02/03,Akratitos,Kalithea,3,3,D,0,1,A,2.2,3.1,2.8,2.2,2.9,2.7,2.2,3.1,2.88,,,,1.9,1.7,,,,,,,,1356.56,1392.66
G1,01/02/03,Olympiakos,OFI,1,0,H,0,0,D,1.3,4.3,7.5,1.25,4.3,8.0,1.2,5.0,10.0,1.3,4.3,7.5,1.4,2.5,,,,,,,,1778.26,1494.06
G1,01/02/03,PAOK,Xanthi,1,0,H,1,0,H,1.55,3.5,4.9,1.55,3.2,4.6,1.4,3.75,7.0,1.55,3.5,4.8,1.65,1.95,,,,,,,,1619.41,1516.92
G1,02/02/03,Egaleo,Ionikos,0,0,D,0,0,D,1.65,3.25,4.5,1.65,3.1,4.0,1.75,3.25,4.0,,,,1.85,1.75,,,,,,,,1445.79,1378.14
G1,02/02/03,Iraklis,Panahaiki,1,1,D,0,0,D,1.2,4.95,10.0,1.2,4.7,9.0,1.2,5.0,10.0,,,,1.6,2.05,,,,,,,,1505.47,1336.44
G1,02/02/03,Panionios,Aris,1,0,H,1,0,H,2.0,3.2,3.1,2.0,3.0,2.9,2.0,3.2,3.2,2.0,3.2,3.1,1.85,1.75,,,,,,,,1536.17,1498.2
G1,02/02/03,Proodeftiki,Panathinaikos,0,2,A,0,0,D,5.3,3.55,1.5,5.0,3.2,1.5,6.5,3.6,1.44,,,,1.8,1.8,,,,,,,,1432.18,1736.44
G1,02/02/03,Giannina,AEK,0,2,A,0,0,D,4.15,3.25,1.7,3.6,3.1,1.75,4.0,3.3,1.75,,,,1.8,1.8,,,,,,,,1390.82,1667.85
G1,08/02/03,Ionikos,Giannina,2,0,H,1,0,H,1.85,3.2,3.65,2.0,2.9,3.0,2.0,3.2,3.2,,,,1.85,1.75,,,,,,,,1383.74,1384.19
G1,08/02/03,Xanthi,Proodeftiki,1,0,H,0,0,D,1.65,3.35,4.5,1.85,2.9,3.4,1.75,3.25,4.0,,,,1.9,1.7,,,,,,,,1510.98,1426.28
G1,09/02/03,Aris,Egaleo,2,1,H,1,0,H,1.6,3.45,4.65,1.7,3.0,3.9,1.6,3.4,4.8,,,,1.85,1.75,,,,,,,,1490.42,1440.19
G1,09/02/03,Kalithea,PAOK,1,2,A,1,2,A,3.75,3.25,1.8,3.0,2.9,2.0,4.0,3.3,1.75,,,,1.75,1.85,,,,,,,,1394.93,1625.35
