Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,Unnamed: 44,EloHome,EloAway
I1,19/10/03,Modena,Lecce,2,0,H,0,0,D,1.8,3.0,4.33,1.8,3.15,4.4,1.75,3.1,4.2,1.8,3.2,4.0,1.8,3.0,4.33,1.8,3.0,4.33,1.8,2.9,4.5,1.9,1.79,1.9,1.8,1.8,2.0,-0.5,1.85,2.0,-0.5,1.8,2.1,-0.5,,1673.04,1619.1
I1,19/10/03,Reggina,Siena,2,1,H,1,0,H,2.1,3.0,3.25,2.15,3.0,3.3,2.0,2.9,3.4,2.1,3.0,3.2,2.1,2.88,3.5,2.1,2.87,3.4,2.0,2.87,3.6,2.0,1.71,1.9,1.8,1.95,1.85,-0.25,1.95,1.9,-0.25,2.0,1.9,-0.25,,1680.39,1681.38
I1,19/10/03,Roma,Parma,2,0,H,1,0,H,1.66,3.2,5.0,1.7,3.25,4.8,1.7,3.2,4.2,1.615,3.25,5.0,1.67,3.25,5.0,1.66,3.2,5.0,1.66,3.1,5.0,1.71,2.0,1.72,2.0,2.0,1.8,-0.75,2.05,1.8,-0.75,2.05,1.85,-0.75,,1824.99,1806.57
I1,19/10/03,Udinese,Empoli,2,0,H,2,0,H,1.5,3.5,6.0,1.5,3.55,7.0,1.45,3.6,5.8,1.5,3.4,6.0,1.5,3.5,6.5,1.5,3.4,6.5,1.44,3.5,7.0,1.79,1.9,1.8,1.9,2.0,1.8,-1.25,1.8,2.05,-1.0,1.9,2.0,-1.0,,1756.0,1628.12
I1,25/10/03,Empoli,Chievo,0,1,A,0,0,D,2.62,3.0,2.5,2.8,2.9,2.5,2.6,2.9,2.5,2.625,2.875,2.5,2.7,2.88,2.5,2.7,2.87,2.5,2.62,2.9,2.5,1.95,1.75,1.9,1.8,1.8,2.0,0.25,1.8,2.05,0.25,1.8,2.1,0.25,,1622.82,1754.45
I1,25/10/03,Siena,Lecce,2,1,H,1,1,D,1.8,3.1,4.2,1.8,3.0,4.7,1.7,3.0,4.6,1.727,3.2,4.333,1.8,3.0,4.33,1.8,3.0,4.33,1.83,3.0,4.0,2.0,1.71,1.9,1.8,1.8,2.0,-0.5,1.75,2.1,-0.5,1.8,2.1,-0.5,,1672.35,1611.8
I1,26/10/03,Inter,Roma,0,0,D,0,0,D,2.3,2.87,3.0,2.35,2.95,2.95,2.0,2.9,3.4,2.375,2.875,2.8,2.25,2.88,3.1,2.25,2.87,3.1,2.3,3.0,2.8,1.75,1.95,1.83,1.83,2.08,1.75,-0.25,1.75,2.1,0.0,1.8,2.1,0.0,,1824.53,1833.39
I1,26/10/03,Juventus,Brescia,2,0,H,2,0,H,1.28,4.5,9.0,1.28,4.5,10.0,1.3,4.0,8.5,1.25,4.5,10.0,1.29,4.33,9.0,1.28,4.33,9.0,1.25,4.33,11.0,1.65,2.05,1.66,2.1,2.08,1.75,-1.5,2.05,1.8,-1.5,2.1,1.8,-1.5,,1939.28,1705.79
I1,26/10/03,Lazio,Bologna,2,1,H,0,0,D,1.44,3.6,7.0,1.5,3.5,6.6,1.45,3.4,6.0,1.444,3.5,7.0,1.5,3.4,6.5,1.5,3.4,6.5,1.4,3.75,7.0,1.75,1.95,1.72,2.0,2.0,1.8,-1.0,2.0,1.85,-1.0,2.05,1.85,-1.0,,1824.98,1667.06
I1,26/10/03,Parma,Modena,3,0,H,1,0,H,1.53,3.4,6.0,1.57,3.4,6.0,1.6,3.3,4.8,1.571,3.25,5.5,1.57,3.4,5.5,1.57,3.4,5.5,1.5,3.4,6.0,1.79,1.9,1.83,1.83,1.8,2.0,-0.75,1.8,2.05,-0.75,1.8,2.1,-0.75,,1798.17,1680.34
I1,26/10/03,Perugia,Udinese,3,3,D,2,1,H,2.3,2.87,3.0,2.3,2.9,3.1,2.3,2.8,2.9,2.25,2.875,3.0,2.3,3.0,2.88,2.3,3.0,2.87,2.3,3.0,2.8,2.0,1.71,2.0,1.72,2.0,1.8,-0.25,2.1,1.75,-0.25,2.1,1.8,-0.25,,1679.91,1761.3
I1,26/10/03,Reggina,Ancona,0,0,D,0,0,D,1.57,3.4,5.5,1.55,3.4,6.0,1.6,3.3,4.8,1.533,3.25,6.0,1.57,3.4,5.5,1.57,3.4,5.5,1.61,3.1,5.5,,,1.8,1.9,,,,1.85,2.0,-0.75,1.875,2.025,-0.75,,1689.42,1572.14
I1,26/10/03,Sampdoria,Milan,0,3,A,0,1,A,3.5,3.0,2.0,3.75,3.0,2.0,3.4,2.9,2.0,3.2,3.0,2.1,3.75,3.1,1.91,3.75,3.1,1.9,3.6,2.87,2.0,1.9,1.79,1.9,1.8,1.8,2.0,0.5,2.05,1.8,0.25,2.1,1.8,0.25,,1671.68,1832.37
I1,01/11/03,Milan,Juventus,1,1,D,0,0,D,2.25,2.8,3.2,2.35,2.8,3.0,2.3,2.8,2.9,2.38,2.88,2.8,2.25,2.88,3.1,2.25,2.88,3.1,2.3,2.8,3.0,2.0,1.71,1.9,1.8,1.8,2.0,0.0,2.05,1.8,-0.25,2.05,1.85,-0.25,,1842.71,1942.48
I1,01/11/03,Udinese,Lazio,1,2,A,1,2,A,2.62,3.0,2.5,2.75,2.8,2.55,2.7,2.9,2.4,2.75,3.0,2.38,2.7,2.88,2.5,2.7,2.88,2.5,2.8,2.87,2.4,1.85,1.85,1.9,1.8,1.95,1.85,0.0,1.95,1.9,0.0,2.0,1.9,0.0,,1761.97,1829.6
I1,02/11/03,Ancona,Siena,0,0,D,0,0,D,2.37,3.0,2.75,2.55,2.85,2.7,2.4,2.8,2.8,2.62,2.88,2.5,2.4,2.9,2.8,2.4,2.9,2.8,2.37,2.87,2.8,1.85,1.85,2.05,1.7,1.86,1.95,0.0,1.85,2.0,0.0,1.8,2.1,0.0,,1579.08,1679.45
I1,02/11/03,Bologna,Sampdoria,0,1,A,0,1,A,2.0,3.0,3.5,2.1,2.85,3.5,2.1,2.7,3.5,2.1,3.0,3.2,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.8,3.4,1.85,1.85,1.83,1.83,1.75,2.05,-0.25,1.75,2.1,-0.25,1.775,2.125,-0.25,,1662.44,1661.34
I1,02/11/03,Brescia,Parma,2,3,A,2,2,D,2.75,3.0,2.37,2.75,2.8,2.55,2.8,2.8,2.4,2.5,2.88,2.62,2.75,3.0,2.4,2.75,3.0,2.4,2.62,2.9,2.5,1.85,1.85,1.83,1.83,1.95,1.85,0.0,2.0,1.85,0.0,2.0,1.9,0.0,,1702.59,1803.72
I1,02/11/03,Chievo,Inter,0,2,A,0,0,D,2.87,3.0,2.3,3.1,2.95,2.2,2.7,2.9,2.4,2.88,3.0,2.25,3.1,3.0,2.2,3.1,3.0,2.2,3.0,2.87,2.25,1.95,1.75,1.83,1.83,1.55,2.3,0.5,1.85,2.0,0.25,1.8,2.1,0.25,,1765.82,1821.32
I1,02/11/03,Lecce,Empoli,2,1,H,2,0,H,1.72,2.9,5.0,1.65,3.2,5.1,1.75,3.0,4.4,1.73,2.88,5.0,1.75,3.0,4.75,1.75,3.0,4.75,1.8,3.0,4.2,1.75,1.95,1.8,1.9,1.95,1.85,-0.75,1.95,1.9,-0.75,2.05,1.85,-0.75,,1604.7,1611.45
I1,02/11/03,Modena,Perugia,1,0,H,0,0,D,1.9,3.0,3.8,2.0,3.0,3.8,1.85,2.9,4.0,2.0,3.0,3.4,1.91,3.1,3.75,1.91,3.1,3.75,2.0,2.87,3.6,2.0,1.71,2.0,1.72,1.95,1.85,-0.5,1.95,1.9,-0.5,2.05,1.85,-0.5,,1674.79,1679.24
I1,02/11/03,Roma,Reggina,2,0,H,1,0,H,1.2,5.0,12.0,1.25,4.75,10.0,1.25,4.3,10.0,1.25,4.5,10.0,1.25,4.75,10.0,1.25,4.75,10.0,1.22,4.5,12.0,1.55,2.25,1.66,2.1,1.85,1.95,-1.5,1.85,2.0,-1.5,1.9,2.0,-1.5,,1836.6,1682.48
I1,08/11/03,Brescia,Bologna,0,0,D,0,0,D,2.0,3.0,3.5,2.0,3.0,3.7,2.0,2.8,3.6,2.0,2.875,3.6,2.0,3.0,3.5,2.0,3.0,3.5,2.1,2.87,3.3,1.95,1.75,1.83,1.83,1.9,1.9,-0.25,1.9,1.95,-0.25,1.9,2.0,-0.25,,1690.13,1646.4
I1,08/11/03,Sampdoria,Empoli,2,0,H,2,0,H,1.5,3.4,6.5,1.45,3.7,7.0,1.5,3.5,5.4,1.444,3.5,7.0,1.5,3.4,6.5,1.5,3.4,6.5,1.44,3.6,6.5,1.75,1.95,1.8,1.9,1.95,1.85,-1.25,1.95,1.9,-1.25,2.075,1.825,-1.25,,1677.38,1602.23
I1,09/11/03,Inter,Ancona,3,0,H,1,0,H,1.14,6.0,13.0,1.18,5.25,14.0,1.2,4.8,11.0,1.167,5.0,13.0,1.17,5.5,13.0,1.16,5.5,13.0,1.14,6.0,12.0,1.65,2.05,1.66,2.1,1.9,1.9,-1.75,1.9,1.95,-1.75,1.85,2.05,-1.75,,1835.41,1579.09
