season,file,round,round_start,window_days,matches,correct,accuracy
1994-95,D1_elo.csv,32,1995-05-26,1825,9,6,0.6666666666666666
1994-95,D1_elo.csv,33,1995-06-10,1825,9,8,0.8888888888888888
1994-95,D1_elo.csv,34,1995-06-17,1825,9,5,0.5555555555555556
1995-96,D1_elo.csv,1,1995-08-11,1825,9,3,0.3333333333333333
1995-96,D1_elo.csv,2,1995-08-18,1825,9,0,0.0
1995-96,D1_elo.csv,3,1995-08-29,1825,9,5,0.5555555555555556
1995-96,D1_elo.csv,4,1995-09-01,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,5,1995-09-08,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,6,1995-09-15,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,7,1995-09-22,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,8,1995-09-29,1825,9,3,0.3333333333333333
1995-96,D1_elo.csv,9,1995-10-13,1825,9,1,0.1111111111111111
1995-96,D1_elo.csv,10,1995-10-20,1825,9,5,0.5555555555555556
1995-96,D1_elo.csv,11,1995-10-27,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,12,1995-11-03,1825,9,2,0.2222222222222222
1995-96,D1_elo.csv,13,1995-11-10,1825,9,2,0.2222222222222222
1995-96,D1_elo.csv,14,1995-11-17,1825,9,6,0.6666666666666666
1995-96,D1_elo.csv,15,1995-11-24,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,16,1995-12-01,1825,9,6,0.6666666666666666
1995-96,D1_elo.csv,17,1995-12-08,1825,9,6,0.6666666666666666
1995-96,D1_elo.csv,18,1996-02-09,1825,6,1,0.16666666666666666
1995-96,D1_elo.csv,19,1996-02-16,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,20,1996-02-24,1825,9,5,0.5555555555555556
1995-96,D1_elo.csv,21,1996-03-02,1825,10,5,0.5
1995-96,D1_elo.csv,22,1996-03-09,1825,8,2,0.25
1995-96,D1_elo.csv,23,1996-03-15,1825,8,5,0.625
1995-96,D1_elo.csv,24,1996-03-22,1825,8,3,0.375
1995-96,D1_elo.csv,25,1996-03-29,1825,11,4,0.36363636363636365
1995-96,D1_elo.csv,26,1996-04-04,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,27,1996-04-09,1825,10,3,0.3
1995-96,D1_elo.csv,28,1996-04-12,1825,9,4,0.4444444444444444
1995-96,D1_elo.csv,29,1996-04-19,1825,9,2,0.2222222222222222
1995-96,D1_elo.csv,30,1996-04-26,1825,9,3,0.3333333333333333
1995-96,D1_elo.csv,31,1996-04-30,1825,9,7,0.7777777777777778
1995-96,D1_elo.csv,32,1996-05-03,1825,11,4,0.36363636363636365
1995-96,D1_elo.csv,33,1996-05-11,1825,9,5,0.5555555555555556
1995-96,D1_elo.csv,34,1996-05-18,1825,9,2,0.2222222222222222
1996-97,D1_elo.csv,1,1996-08-16,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,2,1996-08-20,1825,8,3,0.375
1996-97,D1_elo.csv,3,1996-08-23,1825,9,3,0.3333333333333333
1996-97,D1_elo.csv,4,1996-08-27,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,5,1996-09-06,1825,9,6,0.6666666666666666
1996-97,D1_elo.csv,6,1996-09-13,1825,10,5,0.5
1996-97,D1_elo.csv,7,1996-09-20,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,8,1996-09-27,1825,9,6,0.6666666666666666
1996-97,D1_elo.csv,9,1996-10-04,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,10,1996-10-11,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,11,1996-10-18,1825,9,3,0.3333333333333333
1996-97,D1_elo.csv,12,1996-10-25,1825,9,6,0.6666666666666666
1996-97,D1_elo.csv,13,1996-11-01,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,14,1996-11-15,1825,9,2,0.2222222222222222
1996-97,D1_elo.csv,15,1996-11-22,1825,9,7,0.7777777777777778
1996-97,D1_elo.csv,16,1996-11-29,1825,8,3,0.375
1996-97,D1_elo.csv,17,1996-12-06,1825,9,7,0.7777777777777778
1996-97,D1_elo.csv,18,1997-02-14,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,19,1997-02-21,1825,9,3,0.3333333333333333
1996-97,D1_elo.csv,20,1997-02-28,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,21,1997-03-07,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,22,1997-03-11,1825,9,6,0.6666666666666666
1996-97,D1_elo.csv,23,1997-03-14,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,24,1997-03-21,1825,9,3,0.3333333333333333
1996-97,D1_elo.csv,25,1997-03-28,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,26,1997-04-04,1825,10,6,0.6
1996-97,D1_elo.csv,27,1997-04-12,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,28,1997-04-18,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,29,1997-04-24,1825,9,4,0.4444444444444444
1996-97,D1_elo.csv,30,1997-05-02,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,31,1997-05-09,1825,9,3,0.3333333333333333
1996-97,D1_elo.csv,32,1997-05-16,1825,9,6,0.6666666666666666
1996-97,D1_elo.csv,33,1997-05-24,1825,9,5,0.5555555555555556
1996-97,D1_elo.csv,34,1997-05-31,1825,9,3,0.3333333333333333
1997-98,D1_elo.csv,1,1997-08-01,1825,9,3,0.3333333333333333
1997-98,D1_elo.csv,2,1997-08-05,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,3,1997-08-08,1825,9,4,0.4444444444444444
1997-98,D1_elo.csv,4,1997-08-22,1825,9,7,0.7777777777777778
1997-98,D1_elo.csv,5,1997-08-29,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,6,1997-09-12,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,7,1997-09-19,1825,9,4,0.4444444444444444
1997-98,D1_elo.csv,8,1997-09-26,1825,9,4,0.4444444444444444
1997-98,D1_elo.csv,9,1997-10-03,1825,9,6,0.6666666666666666
1997-98,D1_elo.csv,10,1997-10-14,1825,9,4,0.4444444444444444
1997-98,D1_elo.csv,11,1997-10-17,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,12,1997-10-24,1825,9,6,0.6666666666666666
1997-98,D1_elo.csv,13,1997-10-31,1825,9,2,0.2222222222222222
1997-98,D1_elo.csv,14,1997-11-07,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,15,1997-11-11,1825,8,5,0.625
1997-98,D1_elo.csv,16,1997-11-18,1825,9,6,0.6666666666666666
1997-98,D1_elo.csv,17,1997-11-21,1825,10,3,0.3
1997-98,D1_elo.csv,18,1997-12-05,1825,8,1,0.125
1997-98,D1_elo.csv,19,1997-12-12,1825,10,3,0.3
1997-98,D1_elo.csv,20,1997-12-19,1825,9,6,0.6666666666666666
1997-98,D1_elo.csv,21,1998-01-30,1825,9,6,0.6666666666666666
1997-98,D1_elo.csv,22,1998-02-06,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,23,1998-02-13,1825,9,3,0.3333333333333333
1997-98,D1_elo.csv,24,1998-02-27,1825,9,0,0.0
1997-98,D1_elo.csv,25,1998-03-06,1825,9,5,0.5555555555555556
1997-98,D1_elo.csv,26,1998-03-13,1825,9,2,0.2222222222222222
1997-98,D1_elo.csv,27,1998-03-21,1825,7,4,0.5714285714285714
1997-98,D1_elo.csv,28,1998-03-27,1825,8,5,0.625
1997-98,D1_elo.csv,29,1998-04-03,1825,9,2,0.2222222222222222
1997-98,D1_elo.csv,30,1998-04-09,1825,8,2,0.25
1997-98,D1_elo.csv,31,1998-04-17,1825,10,4,0.4
1997-98,D1_elo.csv,32,1998-04-24,1825,12,5,0.4166666666666667
1997-98,D1_elo.csv,33,1998-05-02,1825,9,6,0.6666666666666666
1997-98,D1_elo.csv,34,1998-05-09,1825,9,5,0.5555555555555556
1998-99,D1_elo.csv,1,1998-08-14,1825,9,7,0.7777777777777778
1998-99,D1_elo.csv,2,1998-08-21,1825,9,5,0.5555555555555556
1998-99,D1_elo.csv,3,1998-09-08,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,4,1998-09-11,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,5,1998-09-18,1825,9,3,0.3333333333333333
1998-99,D1_elo.csv,6,1998-09-25,1825,9,5,0.5555555555555556
1998-99,D1_elo.csv,7,1998-10-02,1825,9,3,0.3333333333333333
1998-99,D1_elo.csv,8,1998-10-16,1825,9,5,0.5555555555555556
1998-99,D1_elo.csv,9,1998-10-23,1825,9,3,0.3333333333333333
1998-99,D1_elo.csv,10,1998-10-30,1825,8,4,0.5
1998-99,D1_elo.csv,11,1998-11-06,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,12,1998-11-10,1825,8,6,0.75
1998-99,D1_elo.csv,13,1998-11-13,1825,8,5,0.625
1998-99,D1_elo.csv,14,1998-11-20,1825,11,5,0.45454545454545453
1998-99,D1_elo.csv,15,1998-11-27,1825,9,8,0.8888888888888888
1998-99,D1_elo.csv,16,1998-12-04,1825,7,3,0.42857142857142855
1998-99,D1_elo.csv,17,1998-12-11,1825,12,7,0.5833333333333334
1998-99,D1_elo.csv,18,1998-12-18,1825,9,5,0.5555555555555556
1998-99,D1_elo.csv,19,1999-02-19,1825,8,5,0.625
1998-99,D1_elo.csv,20,1999-02-26,1825,9,2,0.2222222222222222
1998-99,D1_elo.csv,21,1999-03-05,1825,9,6,0.6666666666666666
1998-99,D1_elo.csv,22,1999-03-12,1825,10,5,0.5
1998-99,D1_elo.csv,23,1999-03-19,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,24,1999-04-03,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,25,1999-04-09,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,26,1999-04-13,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,27,1999-04-16,1825,9,4,0.4444444444444444
1998-99,D1_elo.csv,28,1999-04-23,1825,9,3,0.3333333333333333
1998-99,D1_elo.csv,29,1999-04-30,1825,8,6,0.75
1998-99,D1_elo.csv,30,1999-05-04,1825,9,5,0.5555555555555556
1998-99,D1_elo.csv,31,1999-05-07,1825,10,6,0.6
1998-99,D1_elo.csv,32,1999-05-14,1825,9,3,0.3333333333333333
1998-99,D1_elo.csv,33,1999-05-22,1825,9,6,0.6666666666666666
1998-99,D1_elo.csv,34,1999-05-29,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,1,1999-08-13,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,2,1999-08-20,1825,9,6,0.6666666666666666
1999-00,D1_elo.csv,3,1999-08-27,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,4,1999-09-10,1825,9,7,0.7777777777777778
1999-00,D1_elo.csv,5,1999-09-17,1825,9,7,0.7777777777777778
1999-00,D1_elo.csv,6,1999-09-24,1825,9,3,0.3333333333333333
1999-00,D1_elo.csv,7,1999-10-01,1825,9,6,0.6666666666666666
1999-00,D1_elo.csv,8,1999-10-15,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,9,1999-10-22,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,10,1999-10-29,1825,9,3,0.3333333333333333
1999-00,D1_elo.csv,11,1999-11-05,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,12,1999-11-19,1825,8,5,0.625
1999-00,D1_elo.csv,13,1999-11-26,1825,10,3,0.3
1999-00,D1_elo.csv,14,1999-12-03,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,15,1999-12-10,1825,9,3,0.3333333333333333
1999-00,D1_elo.csv,16,1999-12-14,1825,9,3,0.3333333333333333
1999-00,D1_elo.csv,17,1999-12-17,1825,9,8,0.8888888888888888
1999-00,D1_elo.csv,18,2000-02-04,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,19,2000-02-08,1825,9,7,0.7777777777777778
1999-00,D1_elo.csv,20,2000-02-11,1825,9,6,0.6666666666666666
1999-00,D1_elo.csv,21,2000-02-18,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,22,2000-02-25,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,23,2000-03-03,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,24,2000-03-10,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,25,2000-03-17,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,26,2000-03-24,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,27,2000-03-31,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,28,2000-04-07,1825,9,5,0.5555555555555556
1999-00,D1_elo.csv,29,2000-04-11,1825,9,3,0.3333333333333333
1999-00,D1_elo.csv,30,2000-04-14,1825,9,3,0.3333333333333333
1999-00,D1_elo.csv,31,2000-04-20,1825,9,6,0.6666666666666666
1999-00,D1_elo.csv,32,2000-04-27,1825,9,4,0.4444444444444444
1999-00,D1_elo.csv,33,2000-05-13,1825,9,6,0.6666666666666666
1999-00,D1_elo.csv,34,2000-05-20,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,1,2000-08-11,1825,9,7,0.7777777777777778
2000-01,D1_elo.csv,2,2000-08-18,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,3,2000-09-05,1825,9,7,0.7777777777777778
2000-01,D1_elo.csv,4,2000-09-08,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,5,2000-09-15,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,6,2000-09-22,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,7,2000-09-29,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,8,2000-10-13,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,9,2000-10-20,1825,9,7,0.7777777777777778
2000-01,D1_elo.csv,10,2000-10-27,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,11,2000-11-03,1825,9,6,0.6666666666666666
2000-01,D1_elo.csv,12,2000-11-10,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,13,2000-11-17,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,14,2000-11-24,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,15,2000-12-02,1825,8,5,0.625
2000-01,D1_elo.csv,16,2000-12-08,1825,9,7,0.7777777777777778
2000-01,D1_elo.csv,17,2000-12-12,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,18,2000-12-15,1825,10,5,0.5
2000-01,D1_elo.csv,19,2001-01-26,1825,9,6,0.6666666666666666
2000-01,D1_elo.csv,20,2001-02-02,1825,9,6,0.6666666666666666
2000-01,D1_elo.csv,21,2001-02-09,1825,9,6,0.6666666666666666
2000-01,D1_elo.csv,22,2001-02-16,1825,9,2,0.2222222222222222
2000-01,D1_elo.csv,23,2001-02-23,1825,8,1,0.125
2000-01,D1_elo.csv,24,2001-03-02,1825,10,6,0.6
2000-01,D1_elo.csv,25,2001-03-09,1825,9,6,0.6666666666666666
2000-01,D1_elo.csv,26,2001-03-16,1825,9,2,0.2222222222222222
2000-01,D1_elo.csv,27,2001-03-30,1825,9,4,0.4444444444444444
2000-01,D1_elo.csv,28,2001-04-06,1825,9,3,0.3333333333333333
2000-01,D1_elo.csv,29,2001-04-12,1825,9,4,0.4444444444444444
2000-01,D1_elo.csv,30,2001-04-20,1825,9,7,0.7777777777777778
2000-01,D1_elo.csv,31,2001-04-27,1825,9,6,0.6666666666666666
2000-01,D1_elo.csv,32,2001-05-04,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,33,2001-05-12,1825,9,5,0.5555555555555556
2000-01,D1_elo.csv,34,2001-05-19,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,1,2001-07-28,1825,8,4,0.5
2001-02,D1_elo.csv,2,2001-08-04,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,3,2001-08-11,1825,9,3,0.3333333333333333
2001-02,D1_elo.csv,4,2001-08-18,1825,10,3,0.3
2001-02,D1_elo.csv,5,2001-09-08,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,6,2001-09-15,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,7,2001-09-22,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,8,2001-09-29,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,9,2001-10-13,1825,9,7,0.7777777777777778
2001-02,D1_elo.csv,10,2001-10-20,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,11,2001-10-27,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,12,2001-11-03,1825,9,8,0.8888888888888888
2001-02,D1_elo.csv,13,2001-11-17,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,14,2001-11-24,1825,9,3,0.3333333333333333
2001-02,D1_elo.csv,15,2001-12-01,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,16,2001-12-08,1825,9,4,0.4444444444444444
2001-02,D1_elo.csv,17,2001-12-15,1825,9,2,0.2222222222222222
2001-02,D1_elo.csv,18,2001-12-18,1825,9,2,0.2222222222222222
2001-02,D1_elo.csv,19,2002-01-26,1825,9,7,0.7777777777777778
2001-02,D1_elo.csv,20,2002-02-02,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,21,2002-02-05,1825,9,3,0.3333333333333333
2001-02,D1_elo.csv,22,2002-02-09,1825,9,8,0.8888888888888888
2001-02,D1_elo.csv,23,2002-02-16,1825,9,4,0.4444444444444444
2001-02,D1_elo.csv,24,2002-02-23,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,25,2002-03-02,1825,9,4,0.4444444444444444
2001-02,D1_elo.csv,26,2002-03-09,1825,9,7,0.7777777777777778
2001-02,D1_elo.csv,27,2002-03-16,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,28,2002-03-23,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,29,2002-03-30,1825,9,4,0.4444444444444444
2001-02,D1_elo.csv,30,2002-04-06,1825,9,4,0.4444444444444444
2001-02,D1_elo.csv,31,2002-04-13,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,32,2002-04-19,1825,9,5,0.5555555555555556
2001-02,D1_elo.csv,33,2002-04-27,1825,9,6,0.6666666666666666
2001-02,D1_elo.csv,34,2002-05-04,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,1,2002-08-09,1825,9,2,0.2222222222222222
2002-03,D1_elo.csv,2,2002-08-17,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,3,2002-08-24,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,4,2002-09-10,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,5,2002-09-14,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,6,2002-09-21,1825,9,6,0.6666666666666666
2002-03,D1_elo.csv,7,2002-09-28,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,8,2002-10-05,1825,9,8,0.8888888888888888
2002-03,D1_elo.csv,9,2002-10-19,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,10,2002-10-26,1825,8,2,0.25
2002-03,D1_elo.csv,11,2002-11-02,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,12,2002-11-09,1825,10,6,0.6
2002-03,D1_elo.csv,13,2002-11-16,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,14,2002-11-23,1825,9,2,0.2222222222222222
2002-03,D1_elo.csv,15,2002-11-30,1825,9,7,0.7777777777777778
2002-03,D1_elo.csv,16,2002-12-07,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,17,2002-12-14,1825,9,2,0.2222222222222222
2002-03,D1_elo.csv,18,2003-01-25,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,19,2003-02-01,1825,8,4,0.5
2002-03,D1_elo.csv,20,2003-02-08,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,21,2003-02-15,1825,10,7,0.7
2002-03,D1_elo.csv,22,2003-02-22,1825,9,3,0.3333333333333333
2002-03,D1_elo.csv,23,2003-03-01,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,24,2003-03-08,1825,9,6,0.6666666666666666
2002-03,D1_elo.csv,25,2003-03-15,1825,9,6,0.6666666666666666
2002-03,D1_elo.csv,26,2003-03-22,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,27,2003-04-05,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,28,2003-04-12,1825,9,7,0.7777777777777778
2002-03,D1_elo.csv,29,2003-04-19,1825,9,3,0.3333333333333333
2002-03,D1_elo.csv,30,2003-04-26,1825,9,4,0.4444444444444444
2002-03,D1_elo.csv,31,2003-05-03,1825,9,3,0.3333333333333333
2002-03,D1_elo.csv,32,2003-05-10,1825,9,5,0.5555555555555556
2002-03,D1_elo.csv,33,2003-05-17,1825,9,6,0.6666666666666666
2002-03,D1_elo.csv,34,2003-05-24,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,1,2003-08-01,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,2,2003-08-09,1825,9,2,0.2222222222222222
2003-04,D1_elo.csv,3,2003-08-16,1825,9,6,0.6666666666666666
2003-04,D1_elo.csv,4,2003-08-23,1825,9,6,0.6666666666666666
2003-04,D1_elo.csv,5,2003-09-13,1825,9,3,0.3333333333333333
2003-04,D1_elo.csv,6,2003-09-20,1825,9,6,0.6666666666666666
2003-04,D1_elo.csv,7,2003-09-27,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,8,2003-10-04,1825,9,7,0.7777777777777778
2003-04,D1_elo.csv,9,2003-10-18,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,10,2003-10-25,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,11,2003-11-01,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,12,2003-11-08,1825,9,8,0.8888888888888888
2003-04,D1_elo.csv,13,2003-11-22,1825,9,6,0.6666666666666666
2003-04,D1_elo.csv,14,2003-11-29,1825,9,2,0.2222222222222222
2003-04,D1_elo.csv,15,2003-12-06,1825,9,3,0.3333333333333333
2003-04,D1_elo.csv,16,2003-12-13,1825,9,4,0.4444444444444444
2003-04,D1_elo.csv,17,2003-12-16,1825,9,3,0.3333333333333333
2003-04,D1_elo.csv,18,2004-01-30,1825,9,6,0.6666666666666666
2003-04,D1_elo.csv,19,2004-02-07,1825,9,4,0.4444444444444444
2003-04,D1_elo.csv,20,2004-02-14,1825,9,3,0.3333333333333333
2003-04,D1_elo.csv,21,2004-02-21,1825,9,4,0.4444444444444444
2003-04,D1_elo.csv,22,2004-02-28,1825,9,5,0.5555555555555556
2003-04,D1_elo.csv,23,2004-03-06,1825,9,7,0.7777777777777778
2003-04,D1_elo.csv,24,2004-03-13,1825,9,5,0.5555555555555556
